District,Year,Population_Density
District_235,2019,5000
District_235,2020,19523
District_235,2021,14115
District_235,2022,19806
District_235,2023,18653
District_236,2018,9598
District_236,2019,7932
District_236,2020,14181
District_236,2021,7006
District_236,2022,6077
District_236,2023,991
District_237,2018,3468
District_237,2019,8656
District_237,2020,9794
District_237,2021,9581
District_237,2022,16181
District_237,2023,9402
District_238,2018,12728
District_238,2019,15097
District_238,2020,11388
District_238,2021,11412
District_238,2022,19312
District_238,2023,7953
District_239,2018,355
District_239,2019,4546
District_239,2020,11521
District_239,2021,2300
District_239,2022,16818
District_239,2023,19420
District_240,2018,13391
District_240,2019,12783
District_240,2020,4156
District_240,2021,18658
District_240,2022,16962
District_240,2023,10867
District_241,2018,18796
District_241,2019,2022
District_241,2020,10983
District_241,2021,16976
District_241,2022,8202
District_241,2023,5452
District_242,2018,10228
District_242,2019,9175
District_242,2020,12156
District_242,2021,17248
District_242,2022,3401
District_242,2023,16605
District_243,2018,11018
District_243,2019,10761
District_243,2020,5909
District_243,2021,10502
District_243,2022,17064
District_243,2023,14367
District_244,2018,3383
District_244,2019,17245
District_244,2020,12837
District_244,2021,3709
District_244,2022,12752
District_244,2023,13175
District_245,2018,14796
District_245,2019,2587
District_245,2020,8600
District_245,2021,1217
District_245,2022,16860
District_245,2023,13863
District_246,2018,9133
District_246,2019,7183
District_246,2020,13536
District_246,2021,3619
District_246,2022,7881
District_246,2023,3832
District_247,2018,8697
District_247,2019,5503
District_247,2020,9381
District_247,2021,1523
District_247,2022,3209
District_247,2023,8778
District_248,2018,5949
District_248,2019,3371
District_248,2020,15698
District_248,2021,10524
District_248,2022,364
District_248,2023,9327
District_249,2018,19161
District_249,2019,12055
District_249,2020,17024
District_249,2021,17499
District_249,2022,6282
District_249,2023,5649
District_250,2018,14073
District_250,2019,5200
District_250,2020,8163
District_250,2021,8416
District_250,2022,12605
District_250,2023,5414
District_251,2018,18330
District_251,2019,11764
District_251,2020,19588
District_251,2021,10931
District_251,2022,12394
District_251,2023,1250
District_252,2018,6726
District_252,2019,5513
District_252,2020,6531
District_252,2021,10823
District_252,2022,12351
District_252,2023,14470
District_253,2018,18069
District_253,2019,12128
District_253,2020,9735
District_253,2021,12959
District_253,2022,8753
District_253,2023,8430
District_254,2018,5141
District_254,2019,15246
District_254,2020,2524
District_254,2021,18928
District_254,2022,645
District_254,2023,12638
District_255,2018,12815
District_255,2019,17219
District_255,2020,19504
District_255,2021,8101
District_255,2022,14807
District_255,2023,11572
District_256,2018,6543
District_256,2019,4345
District_256,2020,13131
District_256,2021,16162
District_256,2022,415
District_256,2023,18853
District_257,2018,13913
District_257,2019,15037
District_257,2020,11597
District_257,2021,10040
District_257,2022,15604
District_257,2023,1197
District_258,2018,18005
District_258,2019,10311
District_258,2020,9797
District_258,2021,15904
District_258,2022,946
District_258,2023,6600
District_259,2018,1958
District_259,2019,2903
District_259,2020,16324
District_259,2021,17848
District_259,2022,4409
District_259,2023,18077
District_260,2018,8871
District_260,2019,8332
District_260,2020,7809
District_260,2021,7306
District_260,2022,14899
District_260,2023,1570
District_261,2018,12583
District_261,2019,7791
District_261,2020,19124
District_261,2021,18414
District_261,2022,19732
District_261,2023,17405
District_262,2018,19296
District_262,2019,18941
District_262,2020,1008
District_262,2021,10872
District_262,2022,7398
District_262,2023,15334
District_263,2018,11974
District_263,2019,5386
District_263,2020,12561
District_263,2021,2314
District_263,2022,18210
District_263,2023,3079
District_264,2018,19265
District_264,2019,16900
District_264,2020,19502
District_264,2021,8802
District_264,2022,16496
District_264,2023,1029
District_265,2018,11111
District_265,2019,2934
District_265,2020,5485
District_265,2021,12247
District_265,2022,9916
District_265,2023,14370
District_266,2018,15574
District_266,2019,17026
District_266,2020,7633
District_266,2021,8250
District_266,2022,8585
District_266,2023,13273
District_267,2018,13996
District_267,2019,13817
District_267,2020,4935
District_267,2021,7604
District_267,2022,14872
District_267,2023,10482
District_268,2018,18717
District_268,2019,372
District_268,2020,517
District_268,2021,7594
District_268,2022,12307
District_268,2023,7387
District_269,2018,11238
District_269,2019,9393
District_269,2020,15707
District_269,2021,14774
District_269,2022,2082
District_269,2023,6584
District_270,2018,8412
District_270,2019,9989
District_270,2020,16420
District_270,2021,7055
District_270,2022,649
District_270,2023,1146
District_271,2018,393
District_271,2019,9048
District_271,2020,9129
District_271,2021,2523
District_271,2022,14358
District_271,2023,18408
District_272,2018,7929
District_272,2019,2483
District_272,2020,711
District_272,2021,10796
District_272,2022,17834
District_272,2023,2283
District_273,2018,498
District_273,2019,9384
District_273,2020,17725
District_273,2021,4311
District_273,2022,2355
District_273,2023,5582
District_274,2018,18994
District_274,2019,15751
District_274,2020,18989
District_274,2021,16513
District_274,2022,110
District_274,2023,1380
District_275,2018,4644
District_275,2019,14683
District_275,2020,1436
District_275,2021,902
District_275,2022,1374
District_275,2023,6530
District_276,2018,7394
District_276,2019,5414
District_276,2020,2701
District_276,2021,19950
District_276,2022,11576
District_276,2023,17202
District_277,2018,4999
District_277,2019,4476
District_277,2020,17745
District_277,2021,18262
District_277,2022,560
District_277,2023,2153
District_278,2018,13812
District_278,2019,5451
District_278,2020,353
District_278,2021,2955
District_278,2022,15429
District_278,2023,11406
District_279,2018,14619
District_279,2019,15668
District_279,2020,3623
District_279,2021,3914
District_279,2022,15091
District_279,2023,18014
District_280,2018,3548
District_280,2019,4616
District_280,2020,16718
District_280,2021,14474
District_280,2022,6875
District_280,2023,13381
District_281,2018,11795
District_281,2019,11252
District_281,2020,2803
District_281,2021,239
District_281,2022,3533
District_281,2023,17718
District_282,2018,10357
District_282,2019,12344
District_282,2020,1673
District_282,2021,13515
District_282,2022,17505
District_282,2023,19800
District_283,2018,4799
District_283,2019,15172
District_283,2020,10212
District_283,2021,8684
District_283,2022,10476
District_283,2023,13886
District_284,2018,19008
District_284,2019,18833
District_284,2020,2592
District_284,2021,19714
District_284,2022,2899
District_284,2023,2809
District_285,2018,2926
District_285,2019,5356
District_285,2020,3827
District_285,2021,7752
District_285,2022,8394
District_285,2023,2551
District_286,2018,1386
District_286,2019,10957
District_286,2020,4860
District_286,2021,5948
District_286,2022,9386
District_286,2023,9348
District_287,2018,15739
District_287,2019,15089
District_287,2020,2371
District_287,2021,12588
District_287,2022,2813
District_287,2023,13768
District_288,2018,6039
District_288,2019,19722
District_288,2020,12221
District_288,2021,10568
District_288,2022,4481
District_288,2023,17594
District_289,2018,15942
District_289,2019,14152
District_289,2020,13090
District_289,2021,8380
District_289,2022,18914
District_289,2023,3831
District_290,2018,11452
District_290,2019,14137
District_290,2020,6835
District_290,2021,14229
District_290,2022,12668
District_290,2023,5211
District_291,2018,13394
District_291,2019,12153
District_291,2020,18397
District_291,2021,18316
District_291,2022,14012
District_291,2023,4056
District_292,2018,4010
District_292,2019,11203
District_292,2020,5118
District_292,2021,15288
District_292,2022,16635
District_292,2023,9823
District_293,2018,10014
District_293,2019,2163
District_293,2020,4974
District_293,2021,2962
District_293,2022,14821
District_293,2023,10932
District_294,2018,6216
District_294,2019,16255
District_294,2020,2102
District_294,2021,17967
District_294,2022,13185
District_294,2023,7749
District_295,2018,614
District_295,2019,10895
District_295,2020,12827
District_295,2021,3166
District_295,2022,3950
District_295,2023,1747
District_296,2018,15232
District_296,2019,2487
District_296,2020,154
District_296,2021,19100
District_296,2022,18714
District_296,2023,16078
District_297,2018,7593
District_297,2019,6114
District_297,2020,15130
District_297,2021,4933
District_297,2022,15098
District_297,2023,3963
District_298,2018,8923
District_298,2019,122
District_298,2020,4742
District_298,2021,715
District_298,2022,19612
District_298,2023,5563
District_299,2018,10104
District_299,2019,6077
District_299,2020,15089
District_299,2021,9258
District_299,2022,9836
District_299,2023,14923
District_300,2018,13901
District_300,2019,11362
District_300,2020,11631
District_300,2021,13577
District_300,2022,6404
District_300,2023,13784
District_301,2018,269
District_301,2019,4507
District_301,2020,10543
District_301,2021,7721
District_301,2022,9153
District_301,2023,14979
District_302,2018,15490
District_302,2019,289
District_302,2020,19322
District_302,2021,12964
District_302,2022,17130
District_302,2023,5424
District_303,2018,5894
District_303,2019,17053
District_303,2020,2511
District_303,2021,7745
District_303,2022,17251
District_303,2023,18680
District_304,2018,484
District_304,2019,6972
District_304,2020,11725
District_304,2021,4168
District_304,2022,5889
District_304,2023,11069
District_305,2018,1891
District_305,2019,8217
District_305,2020,15841
District_305,2021,7204
District_305,2022,17688
District_305,2023,10748
District_306,2018,14648
District_306,2019,9942
District_306,2020,11701
District_306,2021,4979
District_306,2022,5399
District_306,2023,18853
District_307,2018,12995
District_307,2019,14192
District_307,2020,12141
District_307,2021,9025
District_307,2022,16615
District_307,2023,1718
District_308,2018,15229
District_308,2019,9572
District_308,2020,19746
District_308,2021,11127
District_308,2022,7389
District_308,2023,7522
District_309,2018,6784
District_309,2019,12247
District_309,2020,3983
District_309,2021,7010
District_309,2022,2500
District_309,2023,6991
District_310,2018,9829
District_310,2019,11618
District_310,2020,1176
District_310,2021,5248
District_310,2022,4488
District_310,2023,11025
District_311,2018,12659
District_311,2019,16129
District_311,2020,17735
District_311,2021,7899
District_311,2022,15748
District_311,2023,12077
District_312,2018,3897
District_312,2019,10724
District_312,2020,19517
District_312,2021,12615
District_312,2022,1862
District_312,2023,1160
District_313,2018,2993
District_313,2019,5364
District_313,2020,5820
District_313,2021,10104
District_313,2022,11498
District_313,2023,18097
District_314,2018,1298
District_314,2019,19823
District_314,2020,8024
District_314,2021,17415
District_314,2022,6575
District_314,2023,14122
District_315,2018,288
District_315,2019,11226
District_315,2020,17893
District_315,2021,3526
District_315,2022,16217
District_315,2023,9479
District_316,2018,1368
District_316,2019,5776
District_316,2020,7441
District_316,2021,1747
District_316,2022,7875
District_316,2023,2115
District_317,2018,19956
District_317,2019,1635
District_317,2020,12371
District_317,2021,13699
District_317,2022,9009
District_317,2023,15142
District_318,2018,8095
District_318,2019,7720
District_318,2020,1664
District_318,2021,14095
District_318,2022,13511
District_318,2023,18647
District_319,2018,11314
District_319,2019,13016
District_319,2020,18074
District_319,2021,19020
District_319,2022,18580
District_319,2023,10482
District_320,2018,12254
District_320,2019,1847
District_320,2020,4615
District_320,2021,7953
District_320,2022,11617
District_320,2023,9349
District_321,2018,17037
District_321,2019,10314
District_321,2020,12103
District_321,2021,18453
District_321,2022,11716
District_321,2023,3826
District_322,2018,19014
District_322,2019,16205
District_322,2020,3144
District_322,2021,1784
District_322,2022,2214
District_322,2023,19940
District_323,2018,12406
District_323,2019,7739
District_323,2020,5183
District_323,2021,2100
District_323,2022,19082
District_323,2023,19956
District_324,2018,16621
District_324,2019,900
District_324,2020,19203
District_324,2021,215
District_324,2022,16428
District_324,2023,15809
District_325,2018,11610
District_325,2019,3267
District_325,2020,4491
District_325,2021,14400
District_325,2022,19073
District_325,2023,13975
District_326,2018,2713
District_326,2019,363
District_326,2020,2273
District_326,2021,11079
District_326,2022,19409
District_326,2023,16056
District_327,2018,16386
District_327,2019,13605
District_327,2020,18091
District_327,2021,18606
District_327,2022,18840
District_327,2023,18570
District_328,2018,3583
District_328,2019,4862
District_328,2020,2767
District_328,2021,8179
District_328,2022,2417
District_328,2023,15323
District_329,2018,18557
District_329,2019,14148
District_329,2020,17606
District_329,2021,13902
District_329,2022,6703
District_329,2023,808
District_330,2018,16670
District_330,2019,7658
District_330,2020,8055
District_330,2021,14380
District_330,2022,19444
District_330,2023,12314
District_331,2018,17569
District_331,2019,13783
District_331,2020,5105
District_331,2021,4037
District_331,2022,16134
District_331,2023,17950
District_332,2018,15709
District_332,2019,7953
District_332,2020,18322
District_332,2021,10821
District_332,2022,1265
District_332,2023,6622
District_333,2018,15107
District_333,2019,14466
District_333,2020,13691
District_333,2021,10533
District_333,2022,10122
District_333,2023,1897
District_334,2018,14597
District_334,2019,3530
District_334,2020,9528
District_334,2021,9957
District_334,2022,10394
District_334,2023,6448
District_335,2018,16436
District_335,2019,986
District_335,2020,3786
District_335,2021,4246
District_335,2022,7340
District_335,2023,12471
District_336,2018,14887
District_336,2019,15885
District_336,2020,3536
District_336,2021,16515
District_336,2022,3664
District_336,2023,16435
District_337,2018,15867
District_337,2019,19514
District_337,2020,2403
District_337,2021,631
District_337,2022,19044
District_337,2023,14476
District_338,2018,11243
District_338,2019,10305
District_338,2020,11210
District_338,2021,9599
District_338,2022,13502
District_338,2023,2026
District_339,2018,6363
District_339,2019,10714
District_339,2020,3121
District_339,2021,1662
District_339,2022,10635
District_339,2023,16880
District_340,2018,8870
District_340,2019,15367
District_340,2020,14625
District_340,2021,3905
District_340,2022,6740
District_340,2023,18641
District_341,2018,5029
District_341,2019,9236
District_341,2020,12680
District_341,2021,8027
District_341,2022,17299
District_341,2023,11180
District_342,2018,5563
District_342,2019,8011
District_342,2020,15692
District_342,2021,14547
District_342,2022,15870
District_342,2023,17032
District_343,2018,422
District_343,2019,16564
District_343,2020,7320
District_343,2021,19052
District_343,2022,3632
District_343,2023,18657
District_344,2018,18822
District_344,2019,14360
District_344,2020,17508
District_344,2021,4295
District_344,2022,2927
District_344,2023,8693
District_345,2018,1398
District_345,2019,955
District_345,2020,3981
District_345,2021,3969
District_345,2022,2556
District_345,2023,3622
District_346,2018,9431
District_346,2019,15224
District_346,2020,5801
District_346,2021,4685
District_346,2022,14946
District_346,2023,17250
District_347,2018,3322
District_347,2019,16162
District_347,2020,7791
District_347,2021,13443
District_347,2022,19427
District_347,2023,18120
District_348,2018,7477
District_348,2019,15284
District_348,2020,9334
District_348,2021,4810
District_348,2022,16985
District_348,2023,19989
District_349,2018,19599
District_349,2019,19313
District_349,2020,3287
District_349,2021,2734
District_349,2022,6225
District_349,2023,1547
District_350,2018,13877
District_350,2019,17310
District_350,2020,15034
District_350,2021,12390
District_350,2022,5721
District_350,2023,10377
District_351,2018,6646
District_351,2019,13535
District_351,2020,17004
District_351,2021,7787
District_351,2022,19795
District_351,2023,469
District_352,2018,16743
District_352,2019,2241
District_352,2020,9615
District_352,2021,2557
District_352,2022,7417
District_352,2023,15160
District_353,2018,9549
District_353,2019,12529
District_353,2020,10421
District_353,2021,18248
District_353,2022,6161
District_353,2023,5108
District_354,2018,7892
District_354,2019,12998
District_354,2020,966
District_354,2021,5747
District_354,2022,257
District_354,2023,15733
District_355,2018,16186
District_355,2019,3494
District_355,2020,10169
District_355,2021,2325
District_355,2022,5988
District_355,2023,14697
District_356,2018,15836
District_356,2019,19110
District_356,2020,9205
District_356,2021,16812
District_356,2022,12287
District_356,2023,2355
District_357,2018,12901
District_357,2019,948
District_357,2020,13100
District_357,2021,15031
District_357,2022,6805
District_357,2023,3186
District_358,2018,4871
District_358,2019,2816
District_358,2020,15970
District_358,2021,2704
District_358,2022,18942
District_358,2023,17749
District_359,2018,8794
District_359,2019,10717
District_359,2020,458
District_359,2021,15158
District_359,2022,2397
District_359,2023,9904
District_360,2018,11335
District_360,2019,10005
District_360,2020,16915
District_360,2021,8442
District_360,2022,13003
District_360,2023,5591
District_361,2018,5386
District_361,2019,19188
District_361,2020,3023
District_361,2021,19433
District_361,2022,10225
District_361,2023,15680
District_362,2018,15038
District_362,2019,8394
District_362,2020,18222
District_362,2021,14384
District_362,2022,18494
District_362,2023,13601
District_363,2018,6413
District_363,2019,14282
District_363,2020,1206
District_363,2021,18469
District_363,2022,10200
District_363,2023,11906
District_364,2018,13631
District_364,2019,4870
District_364,2020,16343
District_364,2021,4823
District_364,2022,8099
District_364,2023,16875
District_365,2018,18536
District_365,2019,10953
District_365,2020,7106
District_365,2021,12756
District_365,2022,11138
District_365,2023,15568
District_366,2018,6028
District_366,2019,8749
District_366,2020,5509
District_366,2021,17029
District_366,2022,2525
District_366,2023,1676
District_367,2018,2962
District_367,2019,201
District_367,2020,18779
District_367,2021,11970
District_367,2022,10443
District_367,2023,15212
District_368,2018,16737
District_368,2019,9265
District_368,2020,4352
District_368,2021,11858
District_368,2022,12988
District_368,2023,14780
District_369,2018,7943
District_369,2019,12517
District_369,2020,6913
District_369,2021,9613
District_369,2022,19543
District_369,2023,14688
District_370,2018,18577
District_370,2019,15164
District_370,2020,17457
District_370,2021,15428
District_370,2022,6798
District_370,2023,7420
District_371,2018,15292
District_371,2019,6189
District_371,2020,15786
District_371,2021,6477
District_371,2022,15078
District_371,2023,12042
District_372,2018,8548
District_372,2019,6200
District_372,2020,3407
District_372,2021,19774
District_372,2022,15953
District_372,2023,12994
District_373,2018,1693
District_373,2019,14868
District_373,2020,17242
District_373,2021,11264
District_373,2022,4852
District_373,2023,13469
District_374,2018,16289
District_374,2019,16111
District_374,2020,14681
District_374,2021,15056
District_374,2022,14497
District_374,2023,7437
District_375,2018,10695
District_375,2019,9705
District_375,2020,16735
District_375,2021,4801
District_375,2022,15504
District_375,2023,18449
District_376,2018,9277
District_376,2019,9909
District_376,2020,18163
District_376,2021,492
District_376,2022,16512
District_376,2023,13538
District_377,2018,8787
District_377,2019,3095
District_377,2020,13838
District_377,2021,14311
District_377,2022,1529
District_377,2023,12777
District_378,2018,19219
District_378,2019,4138
District_378,2020,5858
District_378,2021,16674
District_378,2022,3232
District_378,2023,6381
District_379,2018,303
District_379,2019,12238
District_379,2020,16006
District_379,2021,3472
District_379,2022,12159
District_379,2023,6878
District_380,2018,3600
District_380,2019,2633
District_380,2020,2723
District_380,2021,19007
District_380,2022,2951
District_380,2023,7015
District_381,2018,7948
District_381,2019,13036
District_381,2020,14112
District_381,2021,18441
District_381,2022,454
District_381,2023,9497
District_382,2018,18870
District_382,2019,5098
District_382,2020,591
District_382,2021,2702
District_382,2022,7902
District_382,2023,12651
District_383,2018,12294
District_383,2019,715
District_383,2020,17813
District_383,2021,17033
District_383,2022,18337
District_383,2023,19165
District_384,2018,5843
District_384,2019,10065
District_384,2020,11280
District_384,2021,12872
District_384,2022,9950
District_384,2023,6099
District_385,2018,17205
District_385,2019,16464
District_385,2020,15426
District_385,2021,3714
District_385,2022,4142
District_385,2023,3914
District_386,2018,12384
District_386,2019,2147
District_386,2020,5203
District_386,2021,8861
District_386,2022,9704
District_386,2023,19519
District_387,2018,13136
District_387,2019,8307
District_387,2020,13150
District_387,2021,13492
District_387,2022,17719
District_387,2023,1561
District_388,2018,451
District_388,2019,17559
District_388,2020,15226
District_388,2021,12313
District_388,2022,1288
District_388,2023,16050
District_389,2018,12968
District_389,2019,1345
District_389,2020,7136
District_389,2021,17776
District_389,2022,5552
District_389,2023,5166
District_390,2018,19699
District_390,2019,8386
District_390,2020,2608
District_390,2021,14923
District_390,2022,14920
District_390,2023,19251
District_391,2018,13255
District_391,2019,2622
District_391,2020,11076
District_391,2021,9520
District_391,2022,13239
District_391,2023,1925
District_392,2018,18624
District_392,2019,1346
District_392,2020,4609
District_392,2021,4708
District_392,2022,9577
District_392,2023,17059
District_393,2018,14684
District_393,2019,9726
District_393,2020,15167
District_393,2021,10694
District_393,2022,11526
District_393,2023,789
District_394,2018,2471
District_394,2019,7734
District_394,2020,18182
District_394,2021,4498
District_394,2022,10798
District_394,2023,19506
District_395,2018,14811
District_395,2019,19392
District_395,2020,6765
District_395,2021,14911
District_395,2022,1091
District_395,2023,18996
District_396,2018,2224
District_396,2019,12735
District_396,2020,4577
District_396,2021,16146
District_396,2022,2620
District_396,2023,10000
District_397,2018,12175
District_397,2019,7876
District_397,2020,7920
District_397,2021,8718
District_397,2022,10131
District_397,2023,2690
District_398,2018,4928
District_398,2019,17606
District_398,2020,15706
District_398,2021,10681
District_398,2022,17648
District_398,2023,5207
District_399,2018,1124
District_399,2019,3397
District_399,2020,5467
District_399,2021,6436
District_399,2022,219
District_399,2023,5747
District_400,2018,17886
District_400,2019,7472
District_400,2020,2988
District_400,2021,17398
District_400,2022,2850
District_400,2023,348
District_401,2018,3627
District_401,2019,9788
District_401,2020,11225
District_401,2021,19501
District_401,2022,3259
District_401,2023,220
District_402,2018,2945
District_402,2019,17045
District_402,2020,878
District_402,2021,19262
District_402,2022,2482
District_402,2023,19925
District_403,2018,3872
District_403,2019,3831
District_403,2020,5581
District_403,2021,5025
District_403,2022,3850
District_403,2023,14687
District_404,2018,16776
District_404,2019,2513
District_404,2020,3356
District_404,2021,5160
District_404,2022,13519
District_404,2023,8046
District_405,2018,658
District_405,2019,12356
District_405,2020,12355
District_405,2021,19658
District_405,2022,6730
District_405,2023,1932
District_406,2018,19590
District_406,2019,17352
District_406,2020,3991
District_406,2021,19370
District_406,2022,8892
District_406,2023,19627
District_407,2018,8054
District_407,2019,5360
District_407,2020,2962
District_407,2021,7204
District_407,2022,3900
District_407,2023,11250
District_408,2018,11726
District_408,2019,5881
District_408,2020,6732
District_408,2021,2909
District_408,2022,17100
District_408,2023,7247
District_409,2018,5071
District_409,2019,14386
District_409,2020,15717
District_409,2021,1670
District_409,2022,9182
District_409,2023,14297
District_410,2018,12143
District_410,2019,2766
District_410,2020,10722
District_410,2021,8723
District_410,2022,3102
District_410,2023,991
District_411,2018,15713
District_411,2019,8763
District_411,2020,15379
District_411,2021,10843
District_411,2022,16507
District_411,2023,11161
District_412,2018,13216
District_412,2019,17397
District_412,2020,1170
District_412,2021,5177
District_412,2022,14319
District_412,2023,8011
District_413,2018,13530
District_413,2019,7640
District_413,2020,5003
District_413,2021,3826
District_413,2022,7116
District_413,2023,4911
District_414,2018,17005
District_414,2019,7759
District_414,2020,18796
District_414,2021,13423
District_414,2022,16921
District_414,2023,3384
District_415,2018,8211
District_415,2019,17012
District_415,2020,18090
District_415,2021,3177
District_415,2022,14450
District_415,2023,3652
District_416,2018,9546
District_416,2019,19274
District_416,2020,1285
District_416,2021,12887
District_416,2022,11749
District_416,2023,1365
District_417,2018,7824
District_417,2019,17820
District_417,2020,8149
District_417,2021,4301
District_417,2022,14904
District_417,2023,10411
District_418,2018,10267
District_418,2019,4442
District_418,2020,8671
District_418,2021,2509
District_418,2022,14185
District_418,2023,8679
District_419,2018,10238
District_419,2019,11654
District_419,2020,4795
District_419,2021,2224
District_419,2022,10653
District_419,2023,10973
District_420,2018,5465
District_420,2019,9638
District_420,2020,1341
District_420,2021,5262
District_420,2022,17649
District_420,2023,19623
District_421,2018,9140
District_421,2019,9772
District_421,2020,8930
District_421,2021,4465
District_421,2022,18173
District_421,2023,10715
District_422,2018,17391
District_422,2019,13791
District_422,2020,13211
District_422,2021,1646
District_422,2022,2991
District_422,2023,5341
District_423,2018,9869
District_423,2019,7448
District_423,2020,12622
District_423,2021,14000
District_423,2022,306
District_423,2023,9739
District_424,2018,4042
District_424,2019,8932
District_424,2020,7120
District_424,2021,17543
District_424,2022,820
District_424,2023,11016
District_425,2018,6699
District_425,2019,18477
District_425,2020,306
District_425,2021,19241
District_425,2022,16378
District_425,2023,12741
District_426,2018,18106
District_426,2019,7915
District_426,2020,8019
District_426,2021,7623
District_426,2022,17100
District_426,2023,6084
District_427,2018,11120
District_427,2019,18809
District_427,2020,334
District_427,2021,3250
District_427,2022,9480
District_427,2023,18911
District_428,2018,1277
District_428,2019,19354
District_428,2020,213
District_428,2021,12288
District_428,2022,15907
District_428,2023,6996
District_429,2018,13971
District_429,2019,4468
District_429,2020,14216
District_429,2021,16957
District_429,2022,495
District_429,2023,7033
District_430,2018,9329
District_430,2019,4670
District_430,2020,19976
District_430,2021,12349
District_430,2022,18133
District_430,2023,5437
District_431,2018,18687
District_431,2019,174
District_431,2020,10964
District_431,2021,14932
District_431,2022,2425
District_431,2023,11374
District_432,2018,13643
District_432,2019,14929
District_432,2020,4961
District_432,2021,235
District_432,2022,10066
District_432,2023,8159
District_433,2018,14270
District_433,2019,6577
District_433,2020,8405
District_433,2021,11340
District_433,2022,16394
District_433,2023,8353
District_434,2018,12158
District_434,2019,10436
District_434,2020,4462
District_434,2021,15854
District_434,2022,2993
District_434,2023,10225
District_435,2018,19154
District_435,2019,17358
District_435,2020,9031
District_435,2021,19334
District_435,2022,10453
District_435,2023,10355
District_436,2018,13854
District_436,2019,5664
District_436,2020,10056
District_436,2021,5258
District_436,2022,2000
District_436,2023,12502
District_437,2018,3288
District_437,2019,18327
District_437,2020,5692
District_437,2021,1165
District_437,2022,4742
District_437,2023,1081
District_438,2018,17558
District_438,2019,1652
District_438,2020,18477
District_438,2021,17802
District_438,2022,2513
District_438,2023,291
District_439,2018,8013
District_439,2019,15662
District_439,2020,5029
District_439,2021,6838
District_439,2022,15472
District_439,2023,2851
District_440,2018,13621
District_440,2019,931
District_440,2020,18237
District_440,2021,271
District_440,2022,19641
District_440,2023,6411
District_441,2018,17105
District_441,2019,11359
District_441,2020,7223
District_441,2021,6242
District_441,2022,4586
District_441,2023,15584
District_442,2018,12491
District_442,2019,17569
District_442,2020,9938
District_442,2021,16854
District_442,2022,9383
District_442,2023,4339
District_443,2018,8268
District_443,2019,5121
District_443,2020,7008
District_443,2021,18115
District_443,2022,10898
District_443,2023,5745
District_444,2018,1179
District_444,2019,18957
District_444,2020,8950
District_444,2021,17266
District_444,2022,8018
District_444,2023,2437
District_445,2018,17864
District_445,2019,7261
District_445,2020,5678
District_445,2021,7776
District_445,2022,13916
District_445,2023,6698
District_446,2018,16493
District_446,2019,16102
District_446,2020,1727
District_446,2021,4377
District_446,2022,17288
District_446,2023,2506
District_447,2018,13843
District_447,2019,2650
District_447,2020,15735
District_447,2021,844
District_447,2022,7139
District_447,2023,6686
District_448,2018,9629
District_448,2019,9270
District_448,2020,19773
District_448,2021,19579
District_448,2022,5205
District_448,2023,10454
District_449,2018,13035
District_449,2019,4044
District_449,2020,12274
District_449,2021,10338
District_449,2022,15493
District_449,2023,14597
District_450,2018,13425
District_450,2019,10210
District_450,2020,19079
District_450,2021,2651
District_450,2022,15845
District_450,2023,15559
District_451,2018,3277
District_451,2019,10883
District_451,2020,864
District_451,2021,15485
District_451,2022,17800
District_451,2023,16629
District_452,2018,8856
District_452,2019,14044
District_452,2020,17908
District_452,2021,18853
District_452,2022,6340
District_452,2023,13042
District_453,2018,9089
District_453,2019,9060
District_453,2020,17559
District_453,2021,331
District_453,2022,9545
District_453,2023,5442
District_454,2018,17510
District_454,2019,13236
District_454,2020,16252
District_454,2021,6646
District_454,2022,6727
District_454,2023,13349
District_455,2018,11492
District_455,2019,17720
District_455,2020,13742
District_455,2021,11244
District_455,2022,10095
District_455,2023,10291
District_456,2018,2603
District_456,2019,270
District_456,2020,3579
District_456,2021,18508
District_456,2022,12348
District_456,2023,16968
District_457,2018,11371
District_457,2019,13434
District_457,2020,3524
District_457,2021,15991
District_457,2022,1908
District_457,2023,11171
District_458,2018,18852
District_458,2019,3940
District_458,2020,16067
District_458,2021,14006
District_458,2022,5317
District_458,2023,13856
District_459,2018,8226
District_459,2019,13771
District_459,2020,13419
District_459,2021,5464
District_459,2022,8783
District_459,2023,1918
District_460,2018,3739
District_460,2019,9295
District_460,2020,7859
District_460,2021,2244
District_460,2022,7685
District_460,2023,9047
District_461,2018,16147
District_461,2019,3286
District_461,2020,1476
District_461,2021,12203
District_461,2022,3852
District_461,2023,16433
District_462,2018,3959
District_462,2019,3122
District_462,2020,17868
District_462,2021,2608
District_462,2022,2853
District_462,2023,18101
District_463,2018,9521
District_463,2019,14666
District_463,2020,975
District_463,2021,15858
District_463,2022,8452
District_463,2023,10757
District_464,2018,371
District_464,2019,10062
District_464,2020,6794
District_464,2021,10486
District_464,2022,15557
District_464,2023,12451
District_465,2018,7720
District_465,2019,10037
District_465,2020,9192
District_465,2021,18054
District_465,2022,8600
District_465,2023,18991
District_466,2018,12788
District_466,2019,1590
District_466,2020,17793
District_466,2021,9785
District_466,2022,631
District_466,2023,6914
District_467,2018,3812
District_467,2019,4542
District_467,2020,3230
District_467,2021,12483
District_467,2022,13177
District_467,2023,13655
District_468,2018,12948
District_468,2019,1343
District_468,2020,3579
District_468,2021,7357
District_468,2022,16176
District_468,2023,9619
District_469,2018,12764
District_469,2019,8588
