District,Disease,Year,No_of_Cases,Quarter
District_88,Chikungunya,2019,75,2
District_88,Dengue,2019,42,2
District_88,Yellow fever,2019,72,2
District_88,Malaria,2019,26,2
District_88,Chikungunya,2019,24,3
District_88,Dengue,2019,82,3
District_88,Yellow fever,2019,44,3
District_88,Malaria,2019,82,3
District_89,Chikungunya,2019,89,0
District_89,Dengue,2019,60,0
District_89,Yellow fever,2019,63,0
District_89,Malaria,2019,46,0
District_89,Chikungunya,2019,42,1
District_89,Dengue,2019,95,1
District_89,Yellow fever,2019,85,1
District_89,Malaria,2019,63,1
District_89,Chikungunya,2019,49,2
District_89,Dengue,2019,93,2
District_89,Yellow fever,2019,33,2
District_89,Malaria,2019,20,2
District_89,Chikungunya,2019,66,3
District_89,Dengue,2019,37,3
District_89,Yellow fever,2019,76,3
District_89,Malaria,2019,31,3
District_90,Chikungunya,2019,48,0
District_90,Dengue,2019,21,0
District_90,Yellow fever,2019,91,0
District_90,Malaria,2019,10,0
District_90,Chikungunya,2019,85,1
District_90,Dengue,2019,20,1
District_90,Yellow fever,2019,27,1
District_90,Malaria,2019,41,1
District_90,Chikungunya,2019,58,2
District_90,Dengue,2019,20,2
District_90,Yellow fever,2019,74,2
District_90,Malaria,2019,26,2
District_90,Chikungunya,2019,16,3
District_90,Dengue,2019,48,3
District_90,Yellow fever,2019,64,3
District_90,Malaria,2019,65,3
District_91,Chikungunya,2019,66,0
District_91,Dengue,2019,76,0
District_91,Yellow fever,2019,83,0
District_91,Malaria,2019,19,0
District_91,Chikungunya,2019,26,1
District_91,Dengue,2019,51,1
District_91,Yellow fever,2019,84,1
District_91,Malaria,2019,96,1
District_91,Chikungunya,2019,70,2
District_91,Dengue,2019,64,2
District_91,Yellow fever,2019,6,2
District_91,Malaria,2019,63,2
District_91,Chikungunya,2019,74,3
District_91,Dengue,2019,39,3
District_91,Yellow fever,2019,52,3
District_91,Malaria,2019,8,3
District_92,Chikungunya,2019,22,0
District_92,Dengue,2019,45,0
District_92,Yellow fever,2019,4,0
District_92,Malaria,2019,42,0
District_92,Chikungunya,2019,40,1
District_92,Dengue,2019,53,1
District_92,Yellow fever,2019,18,1
District_92,Malaria,2019,57,1
District_92,Chikungunya,2019,3,2
District_92,Dengue,2019,0,2
District_92,Yellow fever,2019,39,2
District_92,Malaria,2019,18,2
District_92,Chikungunya,2019,58,3
District_92,Dengue,2019,56,3
District_92,Yellow fever,2019,5,3
District_92,Malaria,2019,4,3
District_93,Chikungunya,2019,71,0
District_93,Dengue,2019,16,0
District_93,Yellow fever,2019,8,0
District_93,Malaria,2019,69,0
District_93,Chikungunya,2019,55,1
District_93,Dengue,2019,36,1
District_93,Yellow fever,2019,14,1
District_93,Malaria,2019,31,1
District_93,Chikungunya,2019,63,2
District_93,Dengue,2019,38,2
District_93,Yellow fever,2019,50,2
District_93,Malaria,2019,51,2
District_93,Chikungunya,2019,99,3
District_93,Dengue,2019,23,3
District_93,Yellow fever,2019,8,3
District_93,Malaria,2019,78,3
District_94,Chikungunya,2019,82,0
District_94,Dengue,2019,10,0
District_94,Yellow fever,2019,25,0
District_94,Malaria,2019,7,0
District_94,Chikungunya,2019,14,1
District_94,Dengue,2019,26,1
District_94,Yellow fever,2019,25,1
District_94,Malaria,2019,84,1
District_94,Chikungunya,2019,37,2
District_94,Dengue,2019,80,2
District_94,Yellow fever,2019,49,2
District_94,Malaria,2019,43,2
District_94,Chikungunya,2019,80,3
District_94,Dengue,2019,61,3
District_94,Yellow fever,2019,53,3
District_94,Malaria,2019,57,3
District_95,Chikungunya,2019,73,0
District_95,Dengue,2019,94,0
District_95,Yellow fever,2019,16,0
District_95,Malaria,2019,32,0
District_95,Chikungunya,2019,32,1
District_95,Dengue,2019,76,1
District_95,Yellow fever,2019,11,1
District_95,Malaria,2019,90,1
District_95,Chikungunya,2019,26,2
District_95,Dengue,2019,40,2
District_95,Yellow fever,2019,89,2
District_95,Malaria,2019,74,2
District_95,Chikungunya,2019,1,3
District_95,Dengue,2019,43,3
District_95,Yellow fever,2019,2,3
District_95,Malaria,2019,35,3
District_96,Chikungunya,2019,74,0
District_96,Dengue,2019,22,0
District_96,Yellow fever,2019,60,0
District_96,Malaria,2019,8,0
District_96,Chikungunya,2019,56,1
District_96,Dengue,2019,62,1
District_96,Yellow fever,2019,92,1
District_96,Malaria,2019,50,1
District_96,Chikungunya,2019,8,2
District_96,Dengue,2019,34,2
District_96,Yellow fever,2019,29,2
District_96,Malaria,2019,38,2
District_96,Chikungunya,2019,72,3
District_96,Dengue,2019,80,3
District_96,Yellow fever,2019,71,3
District_96,Malaria,2019,81,3
District_97,Chikungunya,2019,66,0
District_97,Dengue,2019,51,0
District_97,Yellow fever,2019,58,0
District_97,Malaria,2019,91,0
District_97,Chikungunya,2019,45,1
District_97,Dengue,2019,75,1
District_97,Yellow fever,2019,16,1
District_97,Malaria,2019,82,1
District_97,Chikungunya,2019,34,2
District_97,Dengue,2019,83,2
District_97,Yellow fever,2019,84,2
District_97,Malaria,2019,53,2
District_97,Chikungunya,2019,23,3
District_97,Dengue,2019,13,3
District_97,Yellow fever,2019,99,3
District_97,Malaria,2019,7,3
District_98,Chikungunya,2019,98,0
District_98,Dengue,2019,4,0
District_98,Yellow fever,2019,5,0
District_98,Malaria,2019,1,0
District_98,Chikungunya,2019,48,1
District_98,Dengue,2019,82,1
District_98,Yellow fever,2019,16,1
District_98,Malaria,2019,56,1
District_98,Chikungunya,2019,20,2
District_98,Dengue,2019,93,2
District_98,Yellow fever,2019,50,2
District_98,Malaria,2019,30,2
District_98,Chikungunya,2019,55,3
District_98,Dengue,2019,81,3
District_98,Yellow fever,2019,93,3
District_98,Malaria,2019,29,3
District_99,Chikungunya,2019,10,0
District_99,Dengue,2019,62,0
District_99,Yellow fever,2019,10,0
District_99,Malaria,2019,50,0
District_99,Chikungunya,2019,63,1
District_99,Dengue,2019,1,1
District_99,Yellow fever,2019,96,1
District_99,Malaria,2019,92,1
District_99,Chikungunya,2019,31,2
District_99,Dengue,2019,19,2
District_99,Yellow fever,2019,31,2
District_99,Malaria,2019,55,2
District_99,Chikungunya,2019,90,3
District_99,Dengue,2019,26,3
District_99,Yellow fever,2019,78,3
District_99,Malaria,2019,54,3
District_100,Chikungunya,2019,1,0
District_100,Dengue,2019,82,0
District_100,Yellow fever,2019,40,0
District_100,Malaria,2019,26,0
District_100,Chikungunya,2019,25,1
District_100,Dengue,2019,7,1
District_100,Yellow fever,2019,64,1
District_100,Malaria,2019,5,1
District_100,Chikungunya,2019,57,2
District_100,Dengue,2019,65,2
District_100,Yellow fever,2019,72,2
District_100,Malaria,2019,24,2
District_100,Chikungunya,2019,48,3
District_100,Dengue,2019,19,3
District_100,Yellow fever,2019,0,3
District_100,Malaria,2019,83,3
District_101,Chikungunya,2019,19,0
District_101,Dengue,2019,12,0
District_101,Yellow fever,2019,26,0
District_101,Malaria,2019,55,0
District_101,Chikungunya,2019,60,1
District_101,Dengue,2019,55,1
District_101,Yellow fever,2019,21,1
District_101,Malaria,2019,48,1
District_101,Chikungunya,2019,13,2
District_101,Dengue,2019,61,2
District_101,Yellow fever,2019,75,2
District_101,Malaria,2019,89,2
District_101,Chikungunya,2019,64,3
District_101,Dengue,2019,48,3
District_101,Yellow fever,2019,55,3
District_101,Malaria,2019,80,3
District_102,Chikungunya,2019,5,0
District_102,Dengue,2019,17,0
District_102,Yellow fever,2019,92,0
District_102,Malaria,2019,5,0
District_102,Chikungunya,2019,75,1
District_102,Dengue,2019,75,1
District_102,Yellow fever,2019,23,1
District_102,Malaria,2019,25,1
District_102,Chikungunya,2019,35,2
District_102,Dengue,2019,61,2
District_102,Yellow fever,2019,52,2
District_102,Malaria,2019,17,2
District_102,Chikungunya,2019,78,3
District_102,Dengue,2019,96,3
District_102,Yellow fever,2019,71,3
District_102,Malaria,2019,32,3
District_103,Chikungunya,2019,45,0
District_103,Dengue,2019,68,0
District_103,Yellow fever,2019,68,0
District_103,Malaria,2019,50,0
District_103,Chikungunya,2019,51,1
District_103,Dengue,2019,43,1
District_103,Yellow fever,2019,44,1
District_103,Malaria,2019,85,1
District_103,Chikungunya,2019,41,2
District_103,Dengue,2019,67,2
District_103,Yellow fever,2019,63,2
District_103,Malaria,2019,41,2
District_103,Chikungunya,2019,87,3
District_103,Dengue,2019,61,3
District_103,Yellow fever,2019,21,3
District_103,Malaria,2019,66,3
District_104,Chikungunya,2019,6,0
District_104,Dengue,2019,90,0
District_104,Yellow fever,2019,82,0
District_104,Malaria,2019,22,0
District_104,Chikungunya,2019,38,1
District_104,Dengue,2019,88,1
District_104,Yellow fever,2019,39,1
District_104,Malaria,2019,5,1
District_104,Chikungunya,2019,19,2
District_104,Dengue,2019,33,2
District_104,Yellow fever,2019,69,2
District_104,Malaria,2019,37,2
District_104,Chikungunya,2019,41,3
District_104,Dengue,2019,75,3
District_104,Yellow fever,2019,22,3
District_104,Malaria,2019,43,3
District_105,Chikungunya,2019,67,0
District_105,Dengue,2019,16,0
District_105,Yellow fever,2019,7,0
District_105,Malaria,2019,72,0
District_105,Chikungunya,2019,77,1
District_105,Dengue,2019,53,1
District_105,Yellow fever,2019,34,1
District_105,Malaria,2019,77,1
District_105,Chikungunya,2019,68,2
District_105,Dengue,2019,71,2
District_105,Yellow fever,2019,95,2
District_105,Malaria,2019,14,2
District_105,Chikungunya,2019,40,3
District_105,Dengue,2019,17,3
District_105,Yellow fever,2019,4,3
District_105,Malaria,2019,15,3
District_106,Chikungunya,2019,15,0
District_106,Dengue,2019,11,0
District_106,Yellow fever,2019,88,0
District_106,Malaria,2019,70,0
District_106,Chikungunya,2019,64,1
District_106,Dengue,2019,16,1
District_106,Yellow fever,2019,51,1
District_106,Malaria,2019,55,1
District_106,Chikungunya,2019,34,2
District_106,Dengue,2019,7,2
District_106,Yellow fever,2019,35,2
District_106,Malaria,2019,3,2
District_106,Chikungunya,2019,6,3
District_106,Dengue,2019,5,3
District_106,Yellow fever,2019,4,3
District_106,Malaria,2019,76,3
District_107,Chikungunya,2019,31,0
District_107,Dengue,2019,72,0
District_107,Yellow fever,2019,9,0
District_107,Malaria,2019,25,0
District_107,Chikungunya,2019,5,1
District_107,Dengue,2019,84,1
District_107,Yellow fever,2019,36,1
District_107,Malaria,2019,94,1
District_107,Chikungunya,2019,54,2
District_107,Dengue,2019,81,2
District_107,Yellow fever,2019,20,2
District_107,Malaria,2019,91,2
District_107,Chikungunya,2019,61,3
District_107,Dengue,2019,99,3
District_107,Yellow fever,2019,33,3
District_107,Malaria,2019,63,3
District_108,Chikungunya,2019,60,0
District_108,Dengue,2019,83,0
District_108,Yellow fever,2019,10,0
District_108,Malaria,2019,42,0
District_108,Chikungunya,2019,42,1
District_108,Dengue,2019,42,1
District_108,Yellow fever,2019,54,1
District_108,Malaria,2019,30,1
District_108,Chikungunya,2019,45,2
District_108,Dengue,2019,85,2
District_108,Yellow fever,2019,14,2
District_108,Malaria,2019,21,2
District_108,Chikungunya,2019,87,3
District_108,Dengue,2019,10,3
District_108,Yellow fever,2019,57,3
District_108,Malaria,2019,9,3
District_109,Chikungunya,2019,32,0
District_109,Dengue,2019,98,0
District_109,Yellow fever,2019,25,0
District_109,Malaria,2019,21,0
District_109,Chikungunya,2019,4,1
District_109,Dengue,2019,50,1
District_109,Yellow fever,2019,40,1
District_109,Malaria,2019,34,1
District_109,Chikungunya,2019,96,2
District_109,Dengue,2019,35,2
District_109,Yellow fever,2019,82,2
District_109,Malaria,2019,21,2
District_109,Chikungunya,2019,64,3
District_109,Dengue,2019,76,3
District_109,Yellow fever,2019,43,3
District_109,Malaria,2019,48,3
District_110,Chikungunya,2019,67,0
District_110,Dengue,2019,74,0
District_110,Yellow fever,2019,51,0
District_110,Malaria,2019,41,0
District_110,Chikungunya,2019,29,1
District_110,Dengue,2019,57,1
District_110,Yellow fever,2019,73,1
District_110,Malaria,2019,9,1
District_110,Chikungunya,2019,28,2
District_110,Dengue,2019,5,2
District_110,Yellow fever,2019,39,2
District_110,Malaria,2019,34,2
District_110,Chikungunya,2019,3,3
District_110,Dengue,2019,31,3
District_110,Yellow fever,2019,85,3
District_110,Malaria,2019,6,3
District_111,Chikungunya,2019,68,0
District_111,Dengue,2019,45,0
District_111,Yellow fever,2019,14,0
District_111,Malaria,2019,99,0
District_111,Chikungunya,2019,41,1
District_111,Dengue,2019,96,1
District_111,Yellow fever,2019,90,1
District_111,Malaria,2019,33,1
District_111,Chikungunya,2019,77,2
District_111,Dengue,2019,28,2
District_111,Yellow fever,2019,49,2
District_111,Malaria,2019,53,2
District_111,Chikungunya,2019,57,3
District_111,Dengue,2019,64,3
District_111,Yellow fever,2019,46,3
District_111,Malaria,2019,68,3
District_112,Chikungunya,2019,60,0
District_112,Dengue,2019,82,0
District_112,Yellow fever,2019,87,0
District_112,Malaria,2019,73,0
District_112,Chikungunya,2019,39,1
District_112,Dengue,2019,28,1
District_112,Yellow fever,2019,61,1
District_112,Malaria,2019,14,1
District_112,Chikungunya,2019,59,2
District_112,Dengue,2019,89,2
District_112,Yellow fever,2019,10,2
District_112,Malaria,2019,13,2
District_112,Chikungunya,2019,89,3
District_112,Dengue,2019,10,3
District_112,Yellow fever,2019,92,3
District_112,Malaria,2019,57,3
District_113,Chikungunya,2019,61,0
District_113,Dengue,2019,81,0
District_113,Yellow fever,2019,33,0
District_113,Malaria,2019,51,0
District_113,Chikungunya,2019,56,1
District_113,Dengue,2019,53,1
District_113,Yellow fever,2019,74,1
District_113,Malaria,2019,73,1
District_113,Chikungunya,2019,74,2
District_113,Dengue,2019,64,2
District_113,Yellow fever,2019,57,2
District_113,Malaria,2019,55,2
District_113,Chikungunya,2019,17,3
District_113,Dengue,2019,11,3
District_113,Yellow fever,2019,76,3
District_113,Malaria,2019,7,3
District_114,Chikungunya,2019,43,0
District_114,Dengue,2019,52,0
District_114,Yellow fever,2019,5,0
District_114,Malaria,2019,19,0
District_114,Chikungunya,2019,65,1
District_114,Dengue,2019,76,1
District_114,Yellow fever,2019,31,1
District_114,Malaria,2019,45,1
District_114,Chikungunya,2019,39,2
District_114,Dengue,2019,45,2
District_114,Yellow fever,2019,30,2
District_114,Malaria,2019,62,2
District_114,Chikungunya,2019,6,3
District_114,Dengue,2019,11,3
District_114,Yellow fever,2019,3,3
District_114,Malaria,2019,93,3
District_115,Chikungunya,2019,68,0
District_115,Dengue,2019,77,0
District_115,Yellow fever,2019,71,0
District_115,Malaria,2019,13,0
District_115,Chikungunya,2019,36,1
District_115,Dengue,2019,56,1
District_115,Yellow fever,2019,70,1
District_115,Malaria,2019,73,1
District_115,Chikungunya,2019,83,2
District_115,Dengue,2019,37,2
District_115,Yellow fever,2019,86,2
District_115,Malaria,2019,41,2
District_115,Chikungunya,2019,20,3
District_115,Dengue,2019,9,3
District_115,Yellow fever,2019,72,3
District_115,Malaria,2019,78,3
District_116,Chikungunya,2019,46,0
District_116,Dengue,2019,5,0
District_116,Yellow fever,2019,6,0
District_116,Malaria,2019,44,0
District_116,Chikungunya,2019,49,1
District_116,Dengue,2019,71,1
District_116,Yellow fever,2019,60,1
District_116,Malaria,2019,55,1
District_116,Chikungunya,2019,98,2
District_116,Dengue,2019,7,2
District_116,Yellow fever,2019,77,2
District_116,Malaria,2019,49,2
District_116,Chikungunya,2019,50,3
District_116,Dengue,2019,97,3
District_116,Yellow fever,2019,50,3
District_116,Malaria,2019,18,3
District_117,Chikungunya,2019,45,0
District_117,Dengue,2019,85,0
District_117,Yellow fever,2019,69,0
District_117,Malaria,2019,49,0
District_117,Chikungunya,2019,49,1
District_117,Dengue,2019,80,1
District_117,Yellow fever,2019,87,1
District_117,Malaria,2019,92,1
District_117,Chikungunya,2019,60,2
District_117,Dengue,2019,95,2
District_117,Yellow fever,2019,49,2
District_117,Malaria,2019,10,2
District_117,Chikungunya,2019,41,3
District_117,Dengue,2019,41,3
District_117,Yellow fever,2019,34,3
District_117,Malaria,2019,27,3
District_118,Chikungunya,2019,7,0
District_118,Dengue,2019,8,0
District_118,Yellow fever,2019,29,0
District_118,Malaria,2019,19,0
District_118,Chikungunya,2019,86,1
District_118,Dengue,2019,10,1
District_118,Yellow fever,2019,40,1
District_118,Malaria,2019,63,1
District_118,Chikungunya,2019,48,2
District_118,Dengue,2019,46,2
District_118,Yellow fever,2019,17,2
District_118,Malaria,2019,33,2
District_118,Chikungunya,2019,4,3
District_118,Dengue,2019,79,3
District_118,Yellow fever,2019,83,3
District_118,Malaria,2019,22,3
District_119,Chikungunya,2019,50,0
District_119,Dengue,2019,84,0
District_119,Yellow fever,2019,78,0
District_119,Malaria,2019,24,0
District_119,Chikungunya,2019,49,1
District_119,Dengue,2019,60,1
District_119,Yellow fever,2019,54,1
District_119,Malaria,2019,73,1
District_119,Chikungunya,2019,55,2
District_119,Dengue,2019,72,2
District_119,Yellow fever,2019,94,2
District_119,Malaria,2019,76,2
District_119,Chikungunya,2019,48,3
District_119,Dengue,2019,24,3
District_119,Yellow fever,2019,76,3
District_119,Malaria,2019,84,3
District_120,Chikungunya,2019,21,0
District_120,Dengue,2019,60,0
District_120,Yellow fever,2019,44,0
District_120,Malaria,2019,70,0
District_120,Chikungunya,2019,28,1
District_120,Dengue,2019,10,1
District_120,Yellow fever,2019,18,1
District_120,Malaria,2019,23,1
District_120,Chikungunya,2019,55,2
District_120,Dengue,2019,66,2
District_120,Yellow fever,2019,76,2
District_120,Malaria,2019,28,2
District_120,Chikungunya,2019,94,3
District_120,Dengue,2019,41,3
District_120,Yellow fever,2019,54,3
District_120,Malaria,2019,30,3
District_121,Chikungunya,2019,82,0
District_121,Dengue,2019,91,0
District_121,Yellow fever,2019,37,0
District_121,Malaria,2019,78,0
District_121,Chikungunya,2019,28,1
District_121,Dengue,2019,40,1
District_121,Yellow fever,2019,80,1
District_121,Malaria,2019,90,1
District_121,Chikungunya,2019,44,2
District_121,Dengue,2019,95,2
District_121,Yellow fever,2019,30,2
District_121,Malaria,2019,17,2
District_121,Chikungunya,2019,56,3
District_121,Dengue,2019,32,3
District_121,Yellow fever,2019,72,3
District_121,Malaria,2019,42,3
District_122,Chikungunya,2019,33,0
District_122,Dengue,2019,32,0
District_122,Yellow fever,2019,46,0
District_122,Malaria,2019,36,0
District_122,Chikungunya,2019,88,1
District_122,Dengue,2019,36,1
District_122,Yellow fever,2019,5,1
District_122,Malaria,2019,54,1
District_122,Chikungunya,2019,94,2
District_122,Dengue,2019,64,2
District_122,Yellow fever,2019,61,2
District_122,Malaria,2019,40,2
District_122,Chikungunya,2019,54,3
District_122,Dengue,2019,37,3
District_122,Yellow fever,2019,58,3
District_122,Malaria,2019,92,3
District_123,Chikungunya,2019,22,0
District_123,Dengue,2019,48,0
District_123,Yellow fever,2019,78,0
District_123,Malaria,2019,96,0
District_123,Chikungunya,2019,47,1
District_123,Dengue,2019,76,1
District_123,Yellow fever,2019,68,1
District_123,Malaria,2019,51,1
District_123,Chikungunya,2019,78,2
District_123,Dengue,2019,49,2
District_123,Yellow fever,2019,42,2
District_123,Malaria,2019,28,2
District_123,Chikungunya,2019,14,3
District_123,Dengue,2019,21,3
District_123,Yellow fever,2019,40,3
District_123,Malaria,2019,20,3
District_124,Chikungunya,2019,28,0
District_124,Dengue,2019,30,0
District_124,Yellow fever,2019,53,0
District_124,Malaria,2019,73,0
District_124,Chikungunya,2019,85,1
District_124,Dengue,2019,33,1
District_124,Yellow fever,2019,38,1
District_124,Malaria,2019,66,1
District_124,Chikungunya,2019,65,2
District_124,Dengue,2019,84,2
District_124,Yellow fever,2019,20,2
District_124,Malaria,2019,93,2
District_124,Chikungunya,2019,7,3
District_124,Dengue,2019,38,3
District_124,Yellow fever,2019,37,3
District_124,Malaria,2019,50,3
District_125,Chikungunya,2019,12,0
District_125,Dengue,2019,30,0
District_125,Yellow fever,2019,37,0
District_125,Malaria,2019,53,0
District_125,Chikungunya,2019,41,1
District_125,Dengue,2019,94,1
District_125,Yellow fever,2019,96,1
District_125,Malaria,2019,91,1
District_125,Chikungunya,2019,88,2
District_125,Dengue,2019,87,2
District_125,Yellow fever,2019,95,2
District_125,Malaria,2019,38,2
District_125,Chikungunya,2019,53,3
District_125,Dengue,2019,51,3
District_125,Yellow fever,2019,7,3
District_125,Malaria,2019,44,3
District_126,Chikungunya,2019,81,0
District_126,Dengue,2019,99,0
District_126,Yellow fever,2019,75,0
District_126,Malaria,2019,53,0
District_126,Chikungunya,2019,20,1
District_126,Dengue,2019,69,1
District_126,Yellow fever,2019,86,1
District_126,Malaria,2019,31,1
District_126,Chikungunya,2019,62,2
District_126,Dengue,2019,83,2
District_126,Yellow fever,2019,94,2
District_126,Malaria,2019,2,2
District_126,Chikungunya,2019,16,3
District_126,Dengue,2019,1,3
District_126,Yellow fever,2019,68,3
District_126,Malaria,2019,10,3
District_127,Chikungunya,2019,21,0
District_127,Dengue,2019,3,0
District_127,Yellow fever,2019,4,0
District_127,Malaria,2019,69,0
District_127,Chikungunya,2019,70,1
District_127,Dengue,2019,27,1
District_127,Yellow fever,2019,78,1
District_127,Malaria,2019,99,1
District_127,Chikungunya,2019,78,2
District_127,Dengue,2019,59,2
District_127,Yellow fever,2019,80,2
District_127,Malaria,2019,66,2
District_127,Chikungunya,2019,20,3
District_127,Dengue,2019,2,3
District_127,Yellow fever,2019,50,3
District_127,Malaria,2019,44,3
District_128,Chikungunya,2019,94,0
District_128,Dengue,2019,95,0
District_128,Yellow fever,2019,91,0
District_128,Malaria,2019,86,0
District_128,Chikungunya,2019,14,1
District_128,Dengue,2019,85,1
District_128,Yellow fever,2019,62,1
District_128,Malaria,2019,85,1
District_128,Chikungunya,2019,98,2
District_128,Dengue,2019,80,2
District_128,Yellow fever,2019,62,2
District_128,Malaria,2019,84,2
District_128,Chikungunya,2019,64,3
District_128,Dengue,2019,89,3
District_128,Yellow fever,2019,8,3
District_128,Malaria,2019,55,3
District_129,Chikungunya,2019,71,0
District_129,Dengue,2019,10,0
District_129,Yellow fever,2019,71,0
District_129,Malaria,2019,52,0
District_129,Chikungunya,2019,52,1
District_129,Dengue,2019,94,1
District_129,Yellow fever,2019,92,1
District_129,Malaria,2019,71,1
District_129,Chikungunya,2019,75,2
District_129,Dengue,2019,3,2
District_129,Yellow fever,2019,74,2
District_129,Malaria,2019,7,2
District_129,Chikungunya,2019,67,3
District_129,Dengue,2019,24,3
District_129,Yellow fever,2019,24,3
District_129,Malaria,2019,37,3
District_130,Chikungunya,2019,74,0
District_130,Dengue,2019,9,0
District_130,Yellow fever,2019,23,0
District_130,Malaria,2019,10,0
District_130,Chikungunya,2019,13,1
District_130,Dengue,2019,68,1
District_130,Yellow fever,2019,53,1
District_130,Malaria,2019,79,1
District_130,Chikungunya,2019,86,2
District_130,Dengue,2019,25,2
District_130,Yellow fever,2019,30,2
District_130,Malaria,2019,72,2
District_130,Chikungunya,2019,30,3
District_130,Dengue,2019,67,3
District_130,Yellow fever,2019,20,3
District_130,Malaria,2019,72,3
District_131,Chikungunya,2019,64,0
District_131,Dengue,2019,63,0
District_131,Yellow fever,2019,9,0
District_131,Malaria,2019,17,0
District_131,Chikungunya,2019,18,1
District_131,Dengue,2019,42,1
District_131,Yellow fever,2019,73,1
District_131,Malaria,2019,1,1
District_131,Chikungunya,2019,42,2
District_131,Dengue,2019,29,2
District_131,Yellow fever,2019,26,2
District_131,Malaria,2019,96,2
District_131,Chikungunya,2019,64,3
District_131,Dengue,2019,28,3
District_131,Yellow fever,2019,67,3
District_131,Malaria,2019,7,3
District_132,Chikungunya,2019,16,0
District_132,Dengue,2019,77,0
District_132,Yellow fever,2019,58,0
District_132,Malaria,2019,44,0
District_132,Chikungunya,2019,99,1
District_132,Dengue,2019,47,1
District_132,Yellow fever,2019,71,1
District_132,Malaria,2019,3,1
District_132,Chikungunya,2019,80,2
District_132,Dengue,2019,62,2
District_132,Yellow fever,2019,33,2
District_132,Malaria,2019,34,2
District_132,Chikungunya,2019,55,3
District_132,Dengue,2019,74,3
District_132,Yellow fever,2019,19,3
District_132,Malaria,2019,95,3
District_133,Chikungunya,2019,88,0
District_133,Dengue,2019,8,0
District_133,Yellow fever,2019,97,0
District_133,Malaria,2019,55,0
District_133,Chikungunya,2019,62,1
District_133,Dengue,2019,58,1
District_133,Yellow fever,2019,41,1
District_133,Malaria,2019,79,1
District_133,Chikungunya,2019,33,2
District_133,Dengue,2019,35,2
District_133,Yellow fever,2019,36,2
District_133,Malaria,2019,35,2
District_133,Chikungunya,2019,14,3
District_133,Dengue,2019,33,3
District_133,Yellow fever,2019,55,3
District_133,Malaria,2019,31,3
District_134,Chikungunya,2019,74,0
District_134,Dengue,2019,0,0
District_134,Yellow fever,2019,55,0
District_134,Malaria,2019,68,0
District_134,Chikungunya,2019,84,1
District_134,Dengue,2019,65,1
District_134,Yellow fever,2019,29,1
District_134,Malaria,2019,20,1
District_134,Chikungunya,2019,23,2
District_134,Dengue,2019,91,2
District_134,Yellow fever,2019,99,2
District_134,Malaria,2019,82,2
District_134,Chikungunya,2019,35,3
District_134,Dengue,2019,80,3
District_134,Yellow fever,2019,95,3
District_134,Malaria,2019,39,3
District_135,Chikungunya,2019,19,0
District_135,Dengue,2019,49,0
District_135,Yellow fever,2019,99,0
District_135,Malaria,2019,58,0
District_135,Chikungunya,2019,73,1
District_135,Dengue,2019,45,1
District_135,Yellow fever,2019,26,1
District_135,Malaria,2019,11,1
District_135,Chikungunya,2019,76,2
District_135,Dengue,2019,11,2
District_135,Yellow fever,2019,2,2
District_135,Malaria,2019,97,2
District_135,Chikungunya,2019,83,3
District_135,Dengue,2019,79,3
District_135,Yellow fever,2019,20,3
District_135,Malaria,2019,65,3
District_136,Chikungunya,2019,23,0
District_136,Dengue,2019,76,0
District_136,Yellow fever,2019,45,0
District_136,Malaria,2019,43,0
District_136,Chikungunya,2019,40,1
District_136,Dengue,2019,6,1
District_136,Yellow fever,2019,57,1
District_136,Malaria,2019,29,1
District_136,Chikungunya,2019,85,2
District_136,Dengue,2019,51,2
District_136,Yellow fever,2019,40,2
District_136,Malaria,2019,43,2
District_136,Chikungunya,2019,43,3
District_136,Dengue,2019,32,3
District_136,Yellow fever,2019,32,3
District_136,Malaria,2019,99,3
District_137,Chikungunya,2019,91,0
District_137,Dengue,2019,13,0
District_137,Yellow fever,2019,6,0
District_137,Malaria,2019,80,0
District_137,Chikungunya,2019,5,1
District_137,Dengue,2019,73,1
District_137,Yellow fever,2019,90,1
District_137,Malaria,2019,34,1
District_137,Chikungunya,2019,79,2
District_137,Dengue,2019,48,2
District_137,Yellow fever,2019,26,2
District_137,Malaria,2019,11,2
District_137,Chikungunya,2019,40,3
District_137,Dengue,2019,26,3
District_137,Yellow fever,2019,72,3
District_137,Malaria,2019,51,3
District_138,Chikungunya,2019,64,0
District_138,Dengue,2019,28,0
District_138,Yellow fever,2019,75,0
District_138,Malaria,2019,40,0
District_138,Chikungunya,2019,79,1
District_138,Dengue,2019,80,1
District_138,Yellow fever,2019,2,1
District_138,Malaria,2019,40,1
District_138,Chikungunya,2019,14,2
District_138,Dengue,2019,60,2
District_138,Yellow fever,2019,33,2
District_138,Malaria,2019,2,2
District_138,Chikungunya,2019,24,3
District_138,Dengue,2019,51,3
District_138,Yellow fever,2019,98,3
District_138,Malaria,2019,49,3
District_139,Chikungunya,2019,87,0
District_139,Dengue,2019,61,0
District_139,Yellow fever,2019,76,0
District_139,Malaria,2019,14,0
District_139,Chikungunya,2019,37,1
District_139,Dengue,2019,30,1
District_139,Yellow fever,2019,4,1
District_139,Malaria,2019,64,1
District_139,Chikungunya,2019,44,2
District_139,Dengue,2019,31,2
District_139,Yellow fever,2019,75,2
District_139,Malaria,2019,11,2
District_139,Chikungunya,2019,15,3
District_139,Dengue,2019,56,3
